,mean,sd,hdi_2.5%,hdi_97.5%
likelihood_unobserved[271],4.043,1.721,0.695,7.47
likelihood_unobserved[272],4.037,1.719,0.666,7.354
likelihood_unobserved[273],4.031,1.734,0.502,7.288
likelihood_unobserved[274],4.053,1.71,0.828,7.52
likelihood_unobserved[275],3.209,1.713,-0.139,6.638
likelihood_unobserved[276],4.084,1.694,0.772,7.42
likelihood_unobserved[277],4.043,1.725,0.749,7.453
likelihood_unobserved[278],4.027,1.718,0.7,7.414
likelihood_unobserved[279],4.039,1.701,0.681,7.297
likelihood_unobserved[280],3.219,1.708,-0.024,6.639
likelihood_unobserved[281],4.113,1.723,0.799,7.449
likelihood_unobserved[282],4.029,1.708,0.658,7.358
likelihood_unobserved[283],4.035,1.714,0.782,7.451
likelihood_unobserved[284],4.042,1.727,0.644,7.398
likelihood_unobserved[285],4.03,1.771,0.465,7.475
likelihood_unobserved[286],4.07,1.714,0.748,7.375
likelihood_unobserved[287],4.031,1.731,0.472,7.368
likelihood_unobserved[288],4.055,1.715,0.689,7.403
likelihood_unobserved[289],4.026,1.744,0.503,7.302
likelihood_unobserved[290],3.231,1.74,-0.112,6.706
likelihood_unobserved[291],4.094,1.724,0.662,7.389
likelihood_unobserved[292],3.299,1.738,-0.103,6.742
likelihood_unobserved[293],4.114,1.712,0.881,7.624
likelihood_unobserved[294],3.221,1.718,-0.191,6.498
likelihood_unobserved[295],4.076,1.715,0.841,7.569
likelihood_unobserved[296],3.246,1.721,-0.1,6.589
likelihood_unobserved[297],4.116,1.706,0.776,7.434
likelihood_unobserved[298],3.999,1.71,0.59,7.173
likelihood_unobserved[299],4.056,1.755,0.526,7.368
likelihood_unobserved[300],3.254,1.712,-0.017,6.654
likelihood_unobserved[301],4.078,1.718,0.699,7.361
likelihood_unobserved[302],3.274,1.723,-0.083,6.639
likelihood_unobserved[303],4.137,1.693,0.757,7.347
likelihood_unobserved[304],3.192,1.722,-0.129,6.569
likelihood_unobserved[305],4.093,1.705,0.924,7.507
likelihood_unobserved[306],3.25,1.703,-0.035,6.638
likelihood_unobserved[307],4.133,1.699,0.842,7.436
