,mean,sd,hdi_2.5%,hdi_97.5%
likelihood_unobserved[284],128.167,550.207,-950.652,1201.466
likelihood_unobserved[285],130.937,556.156,-968.138,1207.998
likelihood_unobserved[286],136.664,555.939,-947.824,1218.461
likelihood_unobserved[287],136.731,558.575,-937.698,1247.838
likelihood_unobserved[288],130.966,551.773,-953.716,1211.648
likelihood_unobserved[289],130.689,557.805,-959.795,1206.451
likelihood_unobserved[290],110.375,553.833,-988.485,1175.334
likelihood_unobserved[291],164.853,554.426,-896.26,1264.141
likelihood_unobserved[292],118.215,558.514,-973.029,1220.955
likelihood_unobserved[293],160.103,569.637,-977.086,1250.497
likelihood_unobserved[294],89.523,545.871,-943.167,1178.068
likelihood_unobserved[295],137.883,561.85,-1007.45,1205.909
likelihood_unobserved[296],91.054,556.84,-956.217,1225.478
likelihood_unobserved[297],141.796,562.704,-966.748,1213.62
likelihood_unobserved[298],140.35,551.368,-935.215,1182.443
likelihood_unobserved[299],131.872,551.162,-956.891,1210.041
likelihood_unobserved[300],112.217,545.112,-961.843,1186.356
likelihood_unobserved[301],156.265,558.458,-911.86,1253.152
likelihood_unobserved[302],112.6,549.139,-962.161,1167.138
likelihood_unobserved[303],160.685,564.955,-913.037,1276.086
likelihood_unobserved[304],91.192,555.141,-947.011,1232.11
likelihood_unobserved[305],135.693,558.417,-941.152,1247.726
likelihood_unobserved[306],98.385,550.489,-981.964,1163.05
likelihood_unobserved[307],148.102,559.474,-929.637,1251.421
likelihood_unobserved[308],84.36,550.916,-1007.507,1139.014
likelihood_unobserved[309],144.588,554.339,-957.908,1204.255
likelihood_unobserved[310],102.464,550.669,-1026.906,1134.549
likelihood_unobserved[311],136.987,555.55,-945.676,1238.137
likelihood_unobserved[312],128.355,569.186,-1002.346,1208.7
likelihood_unobserved[313],131.517,551.639,-1025.738,1157.388
likelihood_unobserved[314],87.528,558.422,-952.653,1248.524
likelihood_unobserved[315],132.601,546.705,-916.403,1196.928
likelihood_unobserved[316],124.652,554.311,-1010.041,1164.12
likelihood_unobserved[317],162.994,553.106,-916.046,1234.312
likelihood_unobserved[318],122.993,545.209,-947.083,1189.91
likelihood_unobserved[319],129.005,555.514,-1013.034,1165.465
likelihood_unobserved[320],101.907,556.234,-933.949,1228.754
likelihood_unobserved[321],160.222,549.281,-907.189,1233.746
likelihood_unobserved[322],92.221,549.846,-975.828,1162.989
likelihood_unobserved[323],140.083,553.023,-901.929,1231.16
likelihood_unobserved[324],89.883,545.726,-973.037,1150.519
likelihood_unobserved[325],143.359,556.401,-926.958,1254.636
likelihood_unobserved[326],103.373,548.761,-938.531,1223.152
likelihood_unobserved[327],161.215,557.206,-938.898,1223.778
likelihood_unobserved[328],90.735,564.738,-1012.17,1169.739
likelihood_unobserved[329],136.675,551.951,-986.502,1183.643
likelihood_unobserved[330],99.624,558.516,-1008.403,1191.249
likelihood_unobserved[331],136.727,555.421,-923.653,1246.299
likelihood_unobserved[332],111.865,559.172,-1059.518,1148.07
likelihood_unobserved[333],157.551,557.334,-937.183,1240.091
likelihood_unobserved[334],116.257,557.46,-991.295,1201.405
likelihood_unobserved[335],162.451,562.002,-965.71,1220.261
likelihood_unobserved[336],112.025,551.867,-983.663,1175.835
likelihood_unobserved[337],162.69,548.548,-966.477,1187.236
likelihood_unobserved[338],117.313,562.831,-970.388,1220.732
likelihood_unobserved[339],156.649,547.027,-941.611,1198.877
likelihood_unobserved[340],112.219,565.59,-1031.196,1176.066
likelihood_unobserved[341],159.395,552.046,-949.563,1216.832
likelihood_unobserved[342],110.121,554.244,-1006.377,1184.175
likelihood_unobserved[343],165.338,554.621,-979.149,1189.384
likelihood_unobserved[344],97.711,566.932,-1032.266,1182.386
likelihood_unobserved[345],138.992,550.137,-909.024,1240.246
likelihood_unobserved[346],105.791,550.767,-976.393,1148.359
likelihood_unobserved[347],147.371,556.826,-901.382,1283.264
likelihood_unobserved[348],93.134,547.398,-992.466,1149.777
likelihood_unobserved[349],138.499,551.405,-950.742,1208.433
likelihood_unobserved[350],93.115,552.79,-992.339,1173.927
likelihood_unobserved[351],148.256,547.118,-962.193,1215.715
likelihood_unobserved[352],91.767,556.178,-1001.434,1188.414
likelihood_unobserved[353],141.821,549.497,-937.377,1208.218
likelihood_unobserved[354],98.772,554.154,-985.97,1173.019
likelihood_unobserved[355],141.978,552.088,-987.914,1164.556
likelihood_unobserved[356],103.228,558.425,-999.818,1169.683
likelihood_unobserved[357],133.544,559.48,-962.092,1238.156
likelihood_unobserved[358],109.845,549.927,-961.31,1194.43
likelihood_unobserved[359],160.578,554.673,-908.32,1247.447
likelihood_unobserved[360],111.272,562.73,-983.871,1235.881
likelihood_unobserved[361],163.781,554.133,-898.903,1264.112
likelihood_unobserved[362],90.187,555.828,-985.509,1178.286
likelihood_unobserved[363],142.665,559.958,-983.251,1197.436
likelihood_unobserved[364],80.742,558.409,-1017.893,1176.93
likelihood_unobserved[365],148.821,551.828,-1005.795,1175.653
likelihood_unobserved[366],92.685,555.168,-986.808,1179.947
likelihood_unobserved[367],144.362,549.012,-924.402,1234.684
likelihood_unobserved[368],94.458,559.492,-1026.203,1167.739
likelihood_unobserved[369],148.723,557.65,-921.898,1245.176
likelihood_unobserved[370],91.827,568.717,-1015.035,1197.098
likelihood_unobserved[371],148.56,551.694,-929.392,1246.684
likelihood_unobserved[372],87.423,541.259,-966.941,1153.874
likelihood_unobserved[373],135.805,560.317,-951.572,1234.63
likelihood_unobserved[374],84.952,559.305,-980.435,1198.101
likelihood_unobserved[375],143.376,554.942,-968.142,1187.781
likelihood_unobserved[376],83.115,555.732,-999.697,1179.508
likelihood_unobserved[377],142.134,538.313,-869.596,1234.449
likelihood_unobserved[378],89.781,552.32,-1012.143,1133.088
likelihood_unobserved[379],144.512,539.995,-924.507,1168.819
likelihood_unobserved[380],113.223,572.111,-957.297,1274.951
likelihood_unobserved[381],159.358,551.706,-952.294,1195.939
likelihood_unobserved[382],97.135,556.168,-1031.666,1160.462
likelihood_unobserved[383],149.526,550.807,-857.719,1298.026
likelihood_unobserved[384],88.825,554.065,-993.98,1150.901
likelihood_unobserved[385],140.561,555.757,-971.404,1197.124
likelihood_unobserved[386],94.761,551.091,-955.337,1197.581
likelihood_unobserved[387],145.716,561.946,-951.422,1254.616
likelihood_unobserved[388],94.814,551.023,-1022.183,1128.233
likelihood_unobserved[389],142.505,556.295,-956.247,1245.354
likelihood_unobserved[390],92.31,555.388,-1012.845,1151.968
likelihood_unobserved[391],141.328,565.448,-940.684,1275.745
likelihood_unobserved[392],78.371,557.621,-996.364,1197.917
likelihood_unobserved[393],136.225,559.088,-964.817,1220.661
likelihood_unobserved[394],86.998,547.465,-954.809,1196.603
likelihood_unobserved[395],145.207,559.842,-935.211,1263.865
likelihood_unobserved[396],99.092,555.886,-965.666,1203.08
likelihood_unobserved[397],138.626,557.099,-949.79,1238.008
likelihood_unobserved[398],87.994,552.923,-917.149,1253.567
likelihood_unobserved[399],138.657,550.249,-923.178,1216.037
likelihood_unobserved[400],85.883,556.909,-966.116,1230.866
likelihood_unobserved[401],145.787,548.077,-897.429,1243.565
likelihood_unobserved[402],103.727,544.783,-991.518,1166.685
likelihood_unobserved[403],146.961,555.344,-985.015,1220.668
likelihood_unobserved[404],84.805,547.085,-963.882,1173.367
likelihood_unobserved[405],138.829,552.382,-935.05,1240.965
likelihood_unobserved[406],94.232,562.176,-1006.802,1173.542
likelihood_unobserved[407],134.107,556.782,-969.559,1208.434
likelihood_unobserved[408],85.753,553.959,-979.298,1178.221
likelihood_unobserved[409],142.009,558.397,-990.576,1203.375
likelihood_unobserved[410],83.122,550.335,-1033.679,1109.794
likelihood_unobserved[411],134.436,562.695,-933.022,1251.321
likelihood_unobserved[412],90.784,554.716,-996.294,1186.15
likelihood_unobserved[413],138.329,564.138,-993.116,1214.323
likelihood_unobserved[414],113.83,550.978,-1006.033,1164.622
likelihood_unobserved[415],158.668,562.613,-970.226,1226.636
likelihood_unobserved[416],111.818,568.974,-1010.111,1195.133
likelihood_unobserved[417],164.733,545.584,-939.735,1205.057
likelihood_unobserved[418],96.4,564.562,-1035.463,1195.096
likelihood_unobserved[419],141.389,552.896,-925.812,1232.066
likelihood_unobserved[420],91.984,550.313,-965.549,1183.182
likelihood_unobserved[421],145.546,545.927,-932.644,1200.594
likelihood_unobserved[422],100.89,560.412,-945.504,1252.243
likelihood_unobserved[423],142.451,555.011,-936.185,1227.606
likelihood_unobserved[424],102.957,557.165,-959.109,1211.955
likelihood_unobserved[425],145.865,562.31,-986.252,1203.249
likelihood_unobserved[426],86.154,551.19,-985.693,1178.214
likelihood_unobserved[427],142.573,552.549,-905.965,1259.851
likelihood_unobserved[428],88.367,547.943,-973.783,1171.5
likelihood_unobserved[429],145.713,565.14,-964.278,1235.361
likelihood_unobserved[430],94.542,557.809,-942.798,1220.532
likelihood_unobserved[431],139.74,556.46,-943.799,1215.59
likelihood_unobserved[432],85.505,548.021,-1004.688,1153.445
likelihood_unobserved[433],139.284,556.784,-938.314,1213.297
likelihood_unobserved[434],82.261,548.475,-1022.572,1145.542
likelihood_unobserved[435],128.756,569.956,-992.219,1228.52
likelihood_unobserved[436],87.183,559.309,-1005.342,1193.024
likelihood_unobserved[437],132.44,555.058,-957.475,1219.175
likelihood_unobserved[438],94.233,564.979,-1017.384,1181.213
likelihood_unobserved[439],138.77,555.013,-1009.272,1161.384
likelihood_unobserved[440],90.222,544.302,-904.531,1218.93
likelihood_unobserved[441],141.847,553.984,-920.336,1227.336
likelihood_unobserved[442],90.489,562.981,-1009.719,1152.217
likelihood_unobserved[443],138.84,549.049,-928.038,1209.117
likelihood_unobserved[444],95.411,555.495,-960.457,1209.411
likelihood_unobserved[445],135.508,566.102,-1011.481,1210.699
likelihood_unobserved[446],92.421,555.984,-975.078,1192.511
likelihood_unobserved[447],135.481,553.262,-937.659,1231.179
likelihood_unobserved[448],92.738,558.576,-990.997,1205.525
likelihood_unobserved[449],138.549,557.798,-971.065,1191.752
likelihood_unobserved[450],82.41,546.113,-983.533,1121.683
likelihood_unobserved[451],126.911,563.669,-979.791,1238.065
likelihood_unobserved[452],91.724,552.24,-998.466,1170.018
