,mean,sd,hdi_2.5%,hdi_97.5%
likelihood_unobserved[326],0.005,0.001,0.004,0.006
likelihood_unobserved[327],0.002,0.0,0.002,0.002
likelihood_unobserved[328],0.007,0.003,0.003,0.01
likelihood_unobserved[329],0.006,0.001,0.005,0.006
likelihood_unobserved[330],0.004,0.001,0.003,0.005
likelihood_unobserved[331],0.008,0.005,0.003,0.013
likelihood_unobserved[332],0.007,0.005,0.002,0.012
likelihood_unobserved[333],0.005,0.002,0.003,0.007
likelihood_unobserved[334],0.003,0.001,0.002,0.004
likelihood_unobserved[335],0.006,0.005,0.001,0.011
likelihood_unobserved[336],0.007,0.006,0.001,0.013
likelihood_unobserved[337],0.005,0.0,0.005,0.005
likelihood_unobserved[338],0.004,0.002,0.002,0.006
likelihood_unobserved[339],0.004,0.0,0.004,0.005
likelihood_unobserved[340],0.004,0.001,0.003,0.005
likelihood_unobserved[341],0.002,0.001,0.001,0.002
likelihood_unobserved[342],0.003,0.0,0.003,0.003
likelihood_unobserved[343],0.004,0.003,0.001,0.007
likelihood_unobserved[344],0.005,0.003,0.002,0.008
likelihood_unobserved[345],0.004,0.003,0.001,0.007
likelihood_unobserved[346],0.002,0.0,0.002,0.003
likelihood_unobserved[347],0.003,0.001,0.002,0.004
likelihood_unobserved[348],0.003,0.001,0.002,0.004
likelihood_unobserved[349],0.004,0.002,0.002,0.006
likelihood_unobserved[350],0.006,0.002,0.003,0.008
likelihood_unobserved[351],0.002,0.0,0.002,0.003
likelihood_unobserved[352],0.007,0.005,0.002,0.012
likelihood_unobserved[353],0.004,0.001,0.004,0.005
likelihood_unobserved[354],0.007,0.002,0.005,0.008
likelihood_unobserved[355],0.003,0.001,0.002,0.005
likelihood_unobserved[356],0.004,0.002,0.002,0.006
likelihood_unobserved[357],0.003,0.002,0.001,0.006
likelihood_unobserved[358],0.004,0.001,0.003,0.005
likelihood_unobserved[359],0.003,0.001,0.002,0.004
likelihood_unobserved[360],0.007,0.002,0.005,0.009
